Month,DE,Cash
1983 Jul,0.459477589,0.01
1983 Aug,0.319120733,0.01
1983 Sep,0.318488233,0.01
1983 Oct,0.166802513,0.01
1983 Nov,0.140837765,0.01
1983 Dec,0.106404715,0.01
1984 Jan,0.054860842,0.01
1984 Feb,-0.010287987,0.01
1984 Mar,-0.031394419,0.01
1984 Apr,-0.092554062,0.01
1984 May,-0.13494218,0.01
1984 Jun,-0.147659889,0.01
1984 Jul,-0.135000932,0.01
1984 Aug,-0.051404884,0.01
1984 Sep,-0.064411037,0.01
1984 Oct,-0.049532941,0.01
1984 Nov,-0.079671743,0.01
1984 Dec,-0.048915465,0.01
1985 Jan,0.038305687,0.01
1985 Feb,0.089904793,0.01
1985 Mar,0.069982539,0.01
1985 Apr,0.061218851,0.01
1985 May,0.192079586,0.01
1985 Jun,0.184660975,0.01
1985 Jul,0.201351203,0.01
1985 Aug,0.071465812,0.01
1985 Sep,0.038214264,0.01
1985 Oct,0.08354623,0.01
1985 Nov,0.170441619,0.01
1985 Dec,0.193670397,0.01
1986 Jan,0.110407948,0.01
1986 Feb,0.190123432,0.01
1986 Mar,0.27098126,0.01
1986 Apr,0.265684227,0.01
1986 May,0.259868846,0.01
1986 Jun,0.261257659,0.01
1986 Jul,0.192903725,0.01
1986 Aug,0.296566123,0.01
1986 Sep,0.224972238,0.01
1986 Oct,0.241980366,0.01
1986 Nov,0.193578012,0.01
1986 Dec,0.109241305,0.01
1987 Jan,0.253232627,0.01
1987 Feb,0.205384266,0.01
1987 Mar,0.163762782,0.01
1987 Apr,0.157384724,0.01
1987 May,0.107801301,0.01
1987 Jun,0.144634487,0.01
1987 Jul,0.275059253,0.01
1987 Aug,0.22678661,0.01
1987 Sep,0.310752041,0.01
1987 Oct,-0.034578955,0.01
1987 Nov,-0.139469666,0.01
1987 Dec,-0.045603888,0.01
1988 Jan,-0.122770799,0.01
1988 Feb,-0.116833348,0.01
1988 Mar,-0.168751417,0.01
1988 Apr,-0.152048324,0.01
1988 May,-0.1544355,0.01
1988 Jun,-0.158152978,0.01
1988 Jul,-0.203734772,0.01
1988 Aug,-0.26186791,0.01
1988 Sep,-0.212564375,0.01
1988 Oct,0.039153652,0.01
1988 Nov,0.116527956,0.01
1988 Dec,0.053000564,0.01
1989 Jan,0.083994156,0.01
1989 Feb,0.007149097,0.01
1989 Mar,0.062335954,0.01
1989 Apr,0.104558834,0.01
1989 May,0.137818742,0.01
1989 Jun,0.081970067,0.01
1989 Jul,0.187431146,0.01
1989 Aug,0.260991793,0.01
1989 Sep,0.20601845,0.01
