Month,DE,Cash
1983 Jul,0.457877589,0.01
1983 Aug,0.317520733,0.01
1983 Sep,0.316888233,0.01
1983 Oct,0.165202513,0.01
1983 Nov,0.139237765,0.01
1983 Dec,0.104804715,0.01
1984 Jan,0.053260842,0.01
1984 Feb,-0.011887987,0.01
1984 Mar,-0.032994419,0.01
1984 Apr,-0.094154062,0.01
1984 May,-0.13654218,0.01
1984 Jun,-0.149259889,0.01
1984 Jul,-0.136600932,0.01
1984 Aug,-0.053004884,0.01
1984 Sep,-0.066011037,0.01
1984 Oct,-0.051132941,0.01
1984 Nov,-0.081271743,0.01
1984 Dec,-0.050515465,0.01
1985 Jan,0.036705687,0.01
1985 Feb,0.088304793,0.01
1985 Mar,0.068382539,0.01
1985 Apr,0.059618851,0.01
1985 May,0.190479586,0.01
1985 Jun,0.183060975,0.01
1985 Jul,0.199751203,0.01
1985 Aug,0.069865812,0.01
1985 Sep,0.036614264,0.01
1985 Oct,0.08194623,0.01
1985 Nov,0.168841619,0.01
1985 Dec,0.192070397,0.01
1986 Jan,0.108807948,0.01
1986 Feb,0.188523432,0.01
1986 Mar,0.26938126,0.01
1986 Apr,0.264084227,0.01
1986 May,0.258268846,0.01
1986 Jun,0.259657659,0.01
1986 Jul,0.191303725,0.01
1986 Aug,0.294966123,0.01
1986 Sep,0.223372238,0.01
1986 Oct,0.240380366,0.01
1986 Nov,0.191978012,0.01
1986 Dec,0.107641305,0.01
1987 Jan,0.251632627,0.01
1987 Feb,0.203784266,0.01
1987 Mar,0.162162782,0.01
1987 Apr,0.155784724,0.01
1987 May,0.106201301,0.01
1987 Jun,0.143034487,0.01
1987 Jul,0.273459253,0.01
1987 Aug,0.22518661,0.01
1987 Sep,0.309152041,0.01
1987 Oct,-0.036178955,0.01
1987 Nov,-0.141069666,0.01
1987 Dec,-0.047203888,0.01
1988 Jan,-0.124370799,0.01
1988 Feb,-0.118433348,0.01
1988 Mar,-0.170351417,0.01
1988 Apr,-0.153648324,0.01
1988 May,-0.1560355,0.01
1988 Jun,-0.159752978,0.01
1988 Jul,-0.205334772,0.01
1988 Aug,-0.26346791,0.01
1988 Sep,-0.214164375,0.01
1988 Oct,0.037553652,0.01
1988 Nov,0.114927956,0.01
1988 Dec,0.051400564,0.01
1989 Jan,0.082394156,0.01
1989 Feb,0.005549097,0.01
1989 Mar,0.060735954,0.01
1989 Apr,0.102958834,0.01
1989 May,0.136218742,0.01
1989 Jun,0.080370067,0.01
1989 Jul,0.185831146,0.01
1989 Aug,0.259391793,0.01
1989 Sep,0.20441845,0.01
1989 Oct,0.141433582,0.01
1989 Nov,0.182778965,0.01
1989 Dec,0.190968713,0.01
1990 Jan,0.026485877,0.01
1990 Feb,0.066402111,0.01
1990 Mar,0.070359063,0.01
1990 Apr,-0.004848157,0.01
1990 May,0.054757096,0.01
1990 Jun,0.050533309,0.01
1990 Jul,-0.043332042,0.01
1990 Aug,-0.156833287,0.01
1990 Sep,-0.199496747,0.01
1990 Oct,-0.18550614,0.01
1990 Nov,-0.148147505,0.01
1990 Dec,-0.145712109,0.01
1991 Jan,-0.035852921,0.01
1991 Feb,0.025092201,0.01
1991 Mar,0.027901011,0.01
1991 Apr,0.057457775,0.01
1991 May,0.002329078,0.01
1991 Jun,-0.034911808,0.01
1991 Jul,0.018210086,0.01
1991 Aug,0.155924609,0.01
1991 Sep,0.200567775,0.01
1991 Oct,0.230084122,0.01
1991 Nov,0.104722153,0.01
1991 Dec,0.201394848,0.01
1992 Jan,0.132502724,0.01
1992 Feb,0.068368971,0.01
1992 Mar,0.017502393,0.01
