t,TAA_1,TAA_2
0,0.9,0.1
1,0.9,0.1
2,0.9,0.1
3,0.9,0.1
4,0.9,0.1
5,0.9,0.1
6,0.9,0.1
7,0.9,0.1
8,0.9,0.1
9,0.9,0.1
10,0.9,0.1
11,0.9,0.1
12,0.9,0.1
13,0.9,0.1
14,0.9,0.1
15,0.9,0.1
16,0.9,0.1
17,0.9,0.1
18,0.9,0.1
19,0.9,0.1
20,0.9,0.1
21,0.9,0.1
22,0.9,0.1
23,0.9,0.1
24,0.89,0.11
25,0.86,0.14
26,0.84,0.16
27,0.82,0.18
28,0.79,0.21
29,0.76,0.24
30,0.73,0.27
31,0.7,0.3
32,0.67,0.33
33,0.63,0.37
34,0.62,0.38
35,0.61,0.39
36,0.59,0.41
37,0.58,0.42
38,0.57,0.43
39,0.55,0.45
