"age","balance","ending_balance.par1","wA","wA_T","consprop.par1","pretax_cons.par1","aftertax_cons.par1","utility","pseudoConsum","value_manager","value_manager1","value_manager2"
25,1090000,1090000,1.16,0.9,1,70000,58983,-3.09656500336807e-14,22080.0226568159,14.7645973032042,0.344017094017094,14.4205802091871
25,1085000,1085000,1.16,0.9,1,70000,58983,-3.09948626118494e-14,22073.0836882138,14.764461572312,0.344017094017094,14.4204444782949
25,1080000,1080000,1.16,0.9,1,70000,58983,-3.10241354167244e-14,22066.1391551729,14.7643256937247,0.344017094017094,14.4203085997076
25,1075000,1075000,1.16,0.9,1,70000,58983,-3.1053468103888e-14,22059.1891739446,14.7641896715747,0.344017094017094,14.4201725775576
25,1070000,1070000,1.16,0.9,1,70000,58983,-3.10828627757327e-14,22052.2332816601,14.7640534921107,0.344017094017094,14.4200363980936
25,1065000,1065000,1.16,0.9,1,70000,58983,-3.11123183816646e-14,22045.2717625986,14.7639171515998,0.344017094017094,14.4199000575827
25,1060000,1060000,1.16,0.9,1,70000,58983,-3.11418369245952e-14,22038.3041794214,14.7637806474829,0.344017094017094,14.4197635534658
25,1055000,1055000,1.16,0.9,1,70000,58983,-3.11714205915934e-14,22031.3300537274,14.7636439670097,0.344017094017094,14.4196268729926
25,1050000,1050000,1.16,0.9,1,70000,58983,-3.12010692052924e-14,22024.3494659981,14.7635071096682,0.344017094017094,14.4194900156511
25,1045000,1045000,1.16,0.9,1,70000,58983,-3.12307852221646e-14,22017.3618774921,14.7633700604421,0.344017094017094,14.419352966425
25,1040000,1040000,1.16,0.9,1,70000,58983,-3.12605701138907e-14,22010.3669834608,14.7632328228785,0.344017094017094,14.4192157288614
25,1035000,1035000,1.16,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-3.12904234950431e-14,22003.364916149,14.7630953801863,0.344017094017094,14.4190782861692
25,1030000,1030000,1.16,0.9,1,70000,58983,-3.1320347440073e-14,21996.3552314122,14.7629577322939,0.344017094017094,14.4189406382768
25,1025000,1025000,1.16,0.9,1,70000,58983,-3.13503424485141e-14,21989.3378557335,14.7628198608954,0.344017094017094,14.4188027668783
25,1020000,1020000,1.16,0.9,1,70000,58983,-3.1380410877083e-14,21982.3122824638,14.7626817676644,0.344017094017094,14.4186646736473
25,1015000,1015000,1.16,0.9,1,70000,58983,-3.14105522594643e-14,21975.2786660451,14.7625434372117,0.344017094017094,14.4185263431946
25,1010000,1010000,1.16,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-3.14407688828849e-14,21968.2365189752,14.7624048646923,0.344017094017094,14.4183877706752
25,1005000,1005000,1.16,0.9,1,70000,58983,-3.14710621323126e-14,21961.185566288,14.7622660264124,0.344017094017094,14.4182489323953
25,1e+06,1e+06,1.16,0.9,1,70000,58983,-3.15014325731751e-14,21954.1257249891,14.7621269346275,0.344017094017094,14.4181098406105
25,995000,995000,1.16,0.9,1,70000,58983,-3.15318840969847e-14,21947.0561410086,14.7619875598412,0.344017094017094,14.4179704658241
25,990000,990000,1.16,0.9,1,70000,58983,-3.15624144817026e-14,21939.9773814339,14.7618479043879,0.344017094017094,14.4178308103708
25,985000,985000,1.16,0.9,1,70000,58983,-3.15930299195354e-14,21932.8880634776,14.7617079450353,0.344017094017094,14.4176908510182
25,980000,980000,1.16,0.9,1,70000,58983,-3.16237310627344e-14,21925.7880920441,14.7615676773414,0.344017094017094,14.4175505833243
25,975000,975000,1.16,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-3.16545167605881e-14,21918.6777888975,14.7614270900209,0.344017094017094,14.4174099960038
25,970000,970000,1.16,0.9,1,70000,58983,-3.16853894562399e-14,21911.5566459292,14.7612861726722,0.344017094017094,14.4172690786552
25,965000,965000,1.16,0.9,1,70000,58983,-3.17163539473565e-14,21904.4236158545,14.7611449104813,0.344017094017094,14.4171278164642
25,960000,960000,1.16,0.9,1,70000,58983,-3.17474117278453e-14,21897.278416654,14.7610032907387,0.344017094017094,14.4169861967216
25,955000,955000,1.16,0.9,1,70000,58983,-3.17785638125322e-14,21890.1208780427,14.7608613087053,0.344017094017094,14.4168442146882
25,950000,950000,1.16,0.9,1,70000,58983,-3.18098105807358e-14,21882.9509766223,14.760718942488,0.344017094017094,14.4167018484709
25,945000,945000,1.16,0.9,0.999999999999999,69999.9999999999,58982.9999999999,-3.18411568906998e-14,21875.7676636726,14.7605761834017,0.344017094017094,14.4165590893846
25,940000,940000,1.16,0.9,1,70000,58983,-3.1872604623494e-14,21868.5705771674,14.7604330134273,0.344017094017094,14.4164159194102
25,935000,935000,1.16,0.9,1,70000,58983,-3.19041525406584e-14,21861.3600698132,14.7602894210385,0.344017094017094,14.4162723270214
25,930000,930000,1.16,0.9,1,70000,58983,-3.19358030822364e-14,21854.1356536814,14.7601453916536,0.344017094017094,14.4161282976365
25,925000,925000,1.16,0.9,1,70000,58983,-3.19675631344048e-14,21846.8958308911,14.7600009087425,0.344017094017094,14.4159838147254
25,920000,920000,1.16,0.9,1,70000,58983,-3.19994294154688e-14,21839.6414250286,14.7598559514008,0.344017094017094,14.4158388573837
25,915000,915000,1.16,0.9,1,70000,58983,-3.20314067565347e-14,21832.3714124522,14.7597105114347,0.344017094017094,14.4156934174176
25,910000,910000,1.16,0.9,1,70000,58983,-3.20634986824564e-14,21825.0850717054,14.7595645743047,0.344017094017094,14.4155474802876
25,905000,905000,1.16,0.9,1,70000,58983,-3.20957073728129e-14,21817.7819903922,14.7594181044164,0.344017094017094,14.4154010103993
25,9e+05,9e+05,1.16,0.9,1,70000,58983,-3.21280354014438e-14,21810.4616695103,14.7592711059583,0.344017094017094,14.4152540119412
25,895000,895000,1.16,0.9,1,70000,58983,-3.2160481892311e-14,21803.1243927657,14.7591235503452,0.344017094017094,14.4151064563281
25,890000,890000,1.16,0.9,1,70000,58983,-3.21930525419475e-14,21795.7689594799,14.7589754156022,0.344017094017094,14.4149583215851
25,885000,885000,1.16,0.9,1,70000,58983,-3.22257487863085e-14,21788.3951361089,14.7588266812801,0.344017094017094,14.414809587263
25,880000,880000,1.16,0.9,1,70000,58983,-3.22585715388341e-14,21781.0028084392,14.7586773523392,0.344017094017094,14.4146602583221
25,875000,875000,1.16,0.9,1,70000,58983,-3.22915278253843e-14,21773.5904895204,14.7585273743407,0.344017094017094,14.4145102803236
25,870000,870000,1.16,0.9,1,70000,58983,-3.23246192087827e-14,21766.1579271965,14.7583767401077,0.344017094017094,14.4143596460906
25,865000,865000,1.16,0.9,1,70000,58983,-3.23578472555548e-14,21758.7048703949,14.7582254435133,0.344017094017094,14.4142083494962
25,860000,860000,1.16,0.9,1,70000,58983,-3.23912178381195e-14,21751.2301061406,14.7580734399181,0.344017094017094,14.414056345901
