Month,DE,Cash
1983 Jul,0.467877589,0.01
1983 Aug,0.327520733,0.01
1983 Sep,0.326888233,0.01
1983 Oct,0.175202513,0.01
1983 Nov,0.149237765,0.01
1983 Dec,0.114804715,0.01
1984 Jan,0.063260842,0.01
1984 Feb,-0.001887987,0.01
1984 Mar,-0.022994419,0.01
1984 Apr,-0.084154062,0.01
1984 May,-0.12654218,0.01
1984 Jun,-0.139259889,0.01
1984 Jul,-0.126600932,0.01
1984 Aug,-0.043004884,0.01
1984 Sep,-0.056011037,0.01
1984 Oct,-0.041132941,0.01
1984 Nov,-0.071271743,0.01
1984 Dec,-0.040515465,0.01
1985 Jan,0.046705687,0.01
1985 Feb,0.098304793,0.01
1985 Mar,0.078382539,0.01
1985 Apr,0.069618851,0.01
1985 May,0.200479586,0.01
1985 Jun,0.193060975,0.01
1985 Jul,0.209751203,0.01
1985 Aug,0.079865812,0.01
1985 Sep,0.046614264,0.01
1985 Oct,0.09194623,0.01
1985 Nov,0.178841619,0.01
1985 Dec,0.202070397,0.01
1986 Jan,0.118807948,0.01
1986 Feb,0.198523432,0.01
1986 Mar,0.27938126,0.01
1986 Apr,0.274084227,0.01
1986 May,0.268268846,0.01
1986 Jun,0.269657659,0.01
1986 Jul,0.201303725,0.01
1986 Aug,0.304966123,0.01
1986 Sep,0.233372238,0.01
1986 Oct,0.250380366,0.01
1986 Nov,0.201978012,0.01
1986 Dec,0.117641305,0.01
1987 Jan,0.261632627,0.01
1987 Feb,0.213784266,0.01
1987 Mar,0.172162782,0.01
1987 Apr,0.165784724,0.01
1987 May,0.116201301,0.01
1987 Jun,0.153034487,0.01
1987 Jul,0.283459253,0.01
1987 Aug,0.23518661,0.01
1987 Sep,0.319152041,0.01
1987 Oct,-0.026178955,0.01
1987 Nov,-0.131069666,0.01
1987 Dec,-0.037203888,0.01
1988 Jan,-0.114370799,0.01
1988 Feb,-0.108433348,0.01
1988 Mar,-0.160351417,0.01
1988 Apr,-0.143648324,0.01
1988 May,-0.1460355,0.01
1988 Jun,-0.149752978,0.01
1988 Jul,-0.195334772,0.01
1988 Aug,-0.25346791,0.01
1988 Sep,-0.204164375,0.01
1988 Oct,0.047553652,0.01
1988 Nov,0.124927956,0.01
1988 Dec,0.061400564,0.01
1989 Jan,0.092394156,0.01
1989 Feb,0.015549097,0.01
1989 Mar,0.070735954,0.01
1989 Apr,0.112958834,0.01
1989 May,0.146218742,0.01
1989 Jun,0.090370067,0.01
1989 Jul,0.195831146,0.01
1989 Aug,0.269391793,0.01
1989 Sep,0.21441845,0.01
1989 Oct,0.151433582,0.01
1989 Nov,0.192778965,0.01
1989 Dec,0.200968713,0.01
1990 Jan,0.036485877,0.01
1990 Feb,0.076402111,0.01
1990 Mar,0.080359063,0.01
1990 Apr,0.005151843,0.01
1990 May,0.064757096,0.01
1990 Jun,0.060533309,0.01
1990 Jul,-0.033332042,0.01
1990 Aug,-0.146833287,0.01
1990 Sep,-0.189496747,0.01
1990 Oct,-0.17550614,0.01
1990 Nov,-0.138147505,0.01
1990 Dec,-0.135712109,0.01
1991 Jan,-0.025852921,0.01
1991 Feb,0.035092201,0.01
1991 Mar,0.037901011,0.01
1991 Apr,0.067457775,0.01
1991 May,0.012329078,0.01
1991 Jun,-0.024911808,0.01
1991 Jul,0.028210086,0.01
1991 Aug,0.165924609,0.01
1991 Sep,0.210567775,0.01
1991 Oct,0.240084122,0.01
1991 Nov,0.114722153,0.01
1991 Dec,0.211394848,0.01
1992 Jan,0.142502724,0.01
1992 Feb,0.078368971,0.01
1992 Mar,0.027502393,0.01
1992 Apr,0.056314699,0.01
1992 May,0.019079998,0.01
1992 Jun,0.052338471,0.01
1992 Jul,0.045268276,0.01
1992 Aug,0.000690211,0.01
1992 Sep,0.030777832,0.01
1992 Oct,0.017842221,0.01
1992 Nov,0.0996906,0.01
1992 Dec,-0.000570527,0.01
1993 Jan,0.024449281,0.01
1993 Feb,0.025440905,0.01
1993 Mar,0.070946397,0.01
1993 Apr,0.013252836,0.01
1993 May,0.034942218,0.01
1993 Jun,0.056617856,0.01
1993 Jul,0.012030074,0.01
1993 Aug,0.073585493,0.01
1993 Sep,0.053785328,0.01
1993 Oct,0.072348054,0.01
1993 Nov,0.026857207,0.01
1993 Dec,0.026166938,0.01
1994 Jan,0.056238368,0.01
1994 Feb,0.012618874,0.01
1994 Mar,-0.053672498,0.01
