Month,DE,Cash
1983 Jul,0.480117589,0.01
1983 Aug,0.339760733,0.01
1983 Sep,0.339128233,0.01
1983 Oct,0.187442513,0.01
1983 Nov,0.161477765,0.01
1983 Dec,0.127044715,0.01
1984 Jan,0.075500842,0.01
1984 Feb,0.010352013,0.01
1984 Mar,-0.010754419,0.01
1984 Apr,-0.071914062,0.01
1984 May,-0.11430218,0.01
1984 Jun,-0.127019889,0.01
1984 Jul,-0.114360932,0.01
1984 Aug,-0.030764884,0.01
1984 Sep,-0.043771037,0.01
1984 Oct,-0.028892941,0.01
1984 Nov,-0.059031743,0.01
1984 Dec,-0.028275465,0.01
1985 Jan,0.058945687,0.01
1985 Feb,0.110544793,0.01
1985 Mar,0.090622539,0.01
1985 Apr,0.081858851,0.01
1985 May,0.212719586,0.01
1985 Jun,0.205300975,0.01
1985 Jul,0.221991203,0.01
1985 Aug,0.092105812,0.01
1985 Sep,0.058854264,0.01
1985 Oct,0.10418623,0.01
1985 Nov,0.191081619,0.01
1985 Dec,0.214310397,0.01
1986 Jan,0.131047948,0.01
1986 Feb,0.210763432,0.01
1986 Mar,0.29162126,0.01
1986 Apr,0.286324227,0.01
1986 May,0.280508846,0.01
1986 Jun,0.281897659,0.01
1986 Jul,0.213543725,0.01
1986 Aug,0.317206123,0.01
1986 Sep,0.245612238,0.01
1986 Oct,0.262620366,0.01
1986 Nov,0.214218012,0.01
1986 Dec,0.129881305,0.01
1987 Jan,0.273872627,0.01
1987 Feb,0.226024266,0.01
1987 Mar,0.184402782,0.01
1987 Apr,0.178024724,0.01
1987 May,0.128441301,0.01
1987 Jun,0.165274487,0.01
1987 Jul,0.295699253,0.01
1987 Aug,0.24742661,0.01
1987 Sep,0.331392041,0.01
1987 Oct,-0.013938955,0.01
1987 Nov,-0.118829666,0.01
1987 Dec,-0.024963888,0.01
1988 Jan,-0.102130799,0.01
1988 Feb,-0.096193348,0.01
1988 Mar,-0.148111417,0.01
1988 Apr,-0.131408324,0.01
1988 May,-0.1337955,0.01
1988 Jun,-0.137512978,0.01
1988 Jul,-0.183094772,0.01
1988 Aug,-0.24122791,0.01
1988 Sep,-0.191924375,0.01
1988 Oct,0.059793652,0.01
1988 Nov,0.137167956,0.01
1988 Dec,0.073640564,0.01
1989 Jan,0.104634156,0.01
1989 Feb,0.027789097,0.01
1989 Mar,0.082975954,0.01
1989 Apr,0.125198834,0.01
1989 May,0.158458742,0.01
1989 Jun,0.102610067,0.01
1989 Jul,0.208071146,0.01
1989 Aug,0.281631793,0.01
1989 Sep,0.22665845,0.01
1989 Oct,0.163673582,0.01
1989 Nov,0.205018965,0.01
1989 Dec,0.213208713,0.01
1990 Jan,0.048725877,0.01
1990 Feb,0.088642111,0.01
1990 Mar,0.092599063,0.01
1990 Apr,0.017391843,0.01
1990 May,0.076997096,0.01
1990 Jun,0.072773309,0.01
1990 Jul,-0.021092042,0.01
1990 Aug,-0.134593287,0.01
1990 Sep,-0.177256747,0.01
1990 Oct,-0.16326614,0.01
1990 Nov,-0.125907505,0.01
1990 Dec,-0.123472109,0.01
1991 Jan,-0.013612921,0.01
1991 Feb,0.047332201,0.01
1991 Mar,0.050141011,0.01
1991 Apr,0.079697775,0.01
1991 May,0.024569078,0.01
1991 Jun,-0.012671808,0.01
1991 Jul,0.040450086,0.01
1991 Aug,0.178164609,0.01
1991 Sep,0.222807775,0.01
1991 Oct,0.252324122,0.01
1991 Nov,0.126962153,0.01
1991 Dec,0.223634848,0.01
1992 Jan,0.154742724,0.01
1992 Feb,0.090608971,0.01
1992 Mar,0.039742393,0.01
1992 Apr,0.068554699,0.01
1992 May,0.031319998,0.01
1992 Jun,0.064578471,0.01
1992 Jul,0.057508276,0.01
1992 Aug,0.012930211,0.01
1992 Sep,0.043017832,0.01
1992 Oct,0.030082221,0.01
1992 Nov,0.1119306,0.01
1992 Dec,0.011669473,0.01
1993 Jan,0.036689281,0.01
1993 Feb,0.037680905,0.01
1993 Mar,0.083186397,0.01
1993 Apr,0.025492836,0.01
1993 May,0.047182218,0.01
1993 Jun,0.068857856,0.01
1993 Jul,0.024270074,0.01
1993 Aug,0.085825493,0.01
1993 Sep,0.066025328,0.01
1993 Oct,0.084588054,0.01
1993 Nov,0.039097207,0.01
1993 Dec,0.038406938,0.01
1994 Jan,0.068478368,0.01
1994 Feb,0.024858874,0.01
1994 Mar,-0.041432498,0.01
1994 Apr,-0.002181751,0.01
1994 May,-0.011544703,0.01
1994 Jun,-0.040771849,0.01
1994 Jul,-0.007143885,0.01
1994 Aug,-0.006052283,0.01
1994 Sep,-0.023676284,0.01
1994 Oct,-0.01889373,0.01
1994 Nov,-0.045337187,0.01
1994 Dec,-0.043194165,0.01
1995 Jan,-0.053367679,0.01
1995 Feb,0.011434816,0.01
1995 Mar,0.089914445,0.01
1995 Apr,0.104026453,0.01
1995 May,0.130243191,0.01
1995 Jun,0.187088459,0.01
1995 Jul,0.1898773,0.01
1995 Aug,0.148670605,0.01
1995 Sep,0.228792642,0.01
1995 Oct,0.195321877,0.01
1995 Nov,0.297593351,0.01
1995 Dec,0.305118256,0.01
1996 Jan,0.312444724,0.01
1996 Feb,0.276367121,0.01
1996 Mar,0.250645782,0.01
1996 Apr,0.233064031,0.01
1996 May,0.217079486,0.01
1996 Jun,0.194421948,0.01
1996 Jul,0.103795735,0.01
1996 Aug,0.125757316,0.01
1996 Sep,0.138928404,0.01
1996 Oct,0.173938825,0.01
1996 Nov,0.208234926,0.01
1996 Dec,0.16045533,0.01
1997 Jan,0.196741231,0.01
1997 Feb,0.195610889,0.01
1997 Mar,0.138483993,0.01
1997 Apr,0.192986279,0.01
1997 May,0.237130645,0.01
1997 Jun,0.288152904,0.01
1997 Jul,0.45674181,0.01
1997 Aug,0.345815794,0.01
1997 Sep,0.345404315,0.01
1997 Oct,0.267463301,0.01
1997 Nov,0.235764573,0.01
1997 Dec,0.285345582,0.01
1998 Jan,0.224034881,0.01
1998 Feb,0.305187929,0.01
1998 Mar,0.432549121,0.01
1998 Apr,0.364816274,0.01
1998 May,0.261692291,0.01
1998 Jun,0.257640169,0.01
1998 Jul,0.151302633,0.01
1998 Aug,0.044462093,0.01
1998 Sep,0.055633437,0.01
1998 Oct,0.180766854,0.01
1998 Nov,0.19726325,0.01
1998 Dec,0.243778616,0.01
1999 Jan,0.281107887,0.01
1999 Feb,0.157883181,0.01
1999 Mar,0.144857884,0.01
1999 Apr,0.171312124,0.01
1999 May,0.166132084,0.01
1999 Jun,0.184460639,0.01
1999 Jul,0.157879704,0.01
1999 Aug,0.345918826,0.01
1999 Sep,0.226060868,0.01
1999 Oct,0.206657911,0.01
1999 Nov,0.160248581,0.01
1999 Dec,0.161229828,0.01
2000 Jan,0.057245134,0.01
2000 Feb,0.06616186,0.01
2000 Mar,0.119854938,0.01
2000 Apr,0.05311524,0.01
2000 May,0.055205511,0.01
2000 Jun,0.018628648,0.01
2000 Jul,0.036561634,0.01
2000 Aug,0.109255363,0.01
2000 Sep,0.079611759,0.01
2000 Oct,0.010916288,0.01
2000 Nov,-0.08764702,0.01
2000 Dec,-0.134117079,0.01
2001 Jan,-0.058421729,0.01
2001 Feb,-0.12637294,0.01
2001 Mar,-0.251012182,0.01
2001 Apr,-0.169441664,0.01
2001 May,-0.149282004,0.01
2001 Jun,-0.187197266,0.01
2001 Jul,-0.178779495,0.01
2001 Aug,-0.275746847,0.01
